,gdp_nom_noil_sa,rgdp_tradable_sa,rgdp_ntradable_sa,PNByP_sa,cons_sa,gov_sa,inv_sa,im_sa,ex_sa,fut_sa,oil_price_sa,oil_prod_sa,w_nom_sa,cpi_sa,gdp_noil_def_sa,fx_rate_sa,neer_sa,reer_sa,lf_sa,tp_cpi_sa,eu_gdp_sa,credEP_sa,rgdp_sa
2003Q1,1081.32,401.88,830.17,90.64,909.38,208,794.5,991.29,744.55,20,31.41,3800,72.83,96.99,88.8,0.98,1.06,1.22,3783.96,131.04,2021895.48,,2073.2
2003Q2,1118.65,406.84,856.46,89.38,978.16,213.49,890.24,990.34,727.36,8,26.14,3900,74.35,98.7,89.11,0.98,1.13,1.28,3789.79,133.37,1915221.71,,2187.89
2003Q3,1175.96,412.39,885.66,89.69,1114.14,223.33,999.09,1153.07,717.01,40,28.44,3800,75.16,101.55,91.79,0.98,1.11,1.27,3796.67,134.99,1945069.05,,2308.8
2003Q4,1221.42,417.35,937.77,88.99,1212.94,238.03,1089.89,1492.72,816.36,32,29.4,3900,76.11,102.75,91.38,0.98,1.17,1.33,3801.43,137.96,1873945.62,,2440.62
2004Q1,1266.9,424.33,977.15,87.67,1154.4,254.45,1186.98,1500.55,867.62,27,31.94,3800,92.86,102.53,90.39,0.99,1.19,1.35,3802.93,139.99,1807425.82,,2271.14
2004Q2,1340.39,433.55,1007.5,89.88,1209.92,271.61,1235.22,1598.65,1047.49,33,35.43,3900,88.63,104.81,94.59,0.98,1.16,1.31,3804.32,142.38,1895655.99,,2389.63
2004Q3,1369.4,442.43,1038.39,86.17,1202.81,275.68,1265.81,1618.73,1185.67,38,41.59,3800,93.59,106.58,93.78,0.99,1.17,1.35,3811.01,145.02,1867432.16,,2515.5
2004Q4,1436.09,452.09,1046.27,87.74,1233.01,293.92,1324.12,1547.33,1018.75,32,44.16,4000,96.03,113.46,97.43,0.98,1.25,1.35,3819.21,148.2,1804196.76,,2651.49
2005Q1,1467.9,462.53,1044.38,84.04,1301.82,306.34,1338.64,1717.6,1548.21,38,47.64,4300,106.6,115.72,98.29,0.97,1.24,1.28,3846.4,150.97,1792056.54,1220.93,2803.21
2005Q2,1521.38,480.98,1076.27,83.88,1297.73,305.35,1319.61,1720.56,1799.86,38,51.61,5300,111.03,118.92,98.43,0.96,1.14,1.24,3886.28,153.38,1898024.47,1410.25,3021.45
2005Q3,1634.22,495.18,1106.21,88.27,1276.58,336.83,1312.41,1638.62,2153.44,16,61.56,5900,114.47,119.08,103.61,0.94,1.11,1.22,3898.34,155.94,1952317.14,1290.75,3255.83
2005Q4,1689.86,510.99,1148.29,84.11,1368.81,350.46,1286.66,1579.16,2338.55,59,56.92,6700,117.13,119.96,102.27,0.92,1.09,1.17,3903.27,158.04,2050902.04,1226.41,3525.54
2006Q1,1848.17,512.13,1207.65,89.8,1323.39,377.5,1323.65,1673.57,2701.24,125,61.84,6900,128.53,122.17,109.52,0.91,1.09,1.15,3910.79,160.81,2065232.51,448.77,3823.22
2006Q2,1967.42,512.8,1235.94,90.31,1562.56,387.39,1378.39,1808,2895.55,101,69.85,7600,133.6,126.5,114.42,0.9,1.1,1.14,3920.79,163.66,2002108.54,530.79,4095.85
2006Q3,2071.24,517.88,1273.09,89.32,1996.61,388.3,1417.66,1872.89,3301.21,229,70.09,8600,137.33,130.48,116.62,0.88,1.09,1.14,3936.25,166.51,1973034.83,656.33,4377.68
2006Q4,2279.15,519.13,1300.31,93.88,2012.59,436.84,1449.71,1864.56,3579.44,130,59.71,9200,140.4,133.25,128.32,0.87,1.11,1.12,4020.4,169.18,2010062.05,804.34,4625.49
