,rgdp,rgdp_noil,gdp_nom,gdp_nom_noil,gdp_def,gdp_noil_def,cons,gov_cons,ex,im,inv,freig_tur,gas_prod,elect_prod,oil_prod,bus_conf,cap_inv,gov_exp,gov_rev,trade_tur,trade_tur_food,trade_tur_nonfood,paid_services,transactions,atm_pos,income,nom_wage,cpi,cpi_food,cpi_nonfood,cpi_service,ppi_ag,ppi_manf,int_rate1,int_rate10,interbank_rate,mortg_loans,mortg_rate,loans,fexc_res,neer,reer,mo,m1,m2,m3,demand_econ,im_custom,ex_custom,oil_price,cpi_rus,cpi_turk,im_rus,im_tur,cons_conf,ind_output,ag_output,cap_util,turk_gdp_sa,rus_gdp_sa,azn_usd
2003-01-31,,,,,,,,,,,,1.4,0.4,2.1,1.3,,,33.2,45.8,244.7,,,45.54,,,318.34,72.22,,100.5,100,100.1,100,101.1,,,,,,503,,95.68,84.95,333.74,392.62,404.19,786.03,,135.3,173.9,31.18,30.89,36.37,4554,4425.6,,371,,,,,
2003-02-28,,,,,,,,,,,,1.5,0.4,1.8,1.2,,,69.1,74.2,239.54,,,45.16,,,350.04,72.82,,100.2,100,99.9,100,117.2,,,,,,539.8,,94.67,83.64,295.7,357.22,369.04,810.24,,139.1,61.1,32.77,31.39,36.93,5018,4186,,355,,,,,
2003-03-31,1752,993.4,1453.6,882.9,82.97,88.88,832.4,190.9,763.7,950.3,644.4,1.6,0.5,2.3,1.3,,,105.4,126.9,256.32,,,48.52,,,392.84,73.44,,100.1,100,99.8,100,99.9,,,,,,548.3,,94.38,82.91,302.58,368.54,381.9,840.68,,185.6,439.9,30.61,31.72,37.65,5804,5755.5,,761,,,190594.1027,13993245.3,
2003-04-30,,,,,,,,,,,,1.3,0.4,1.9,1.3,,,106.4,74.5,244.34,,,47.92,,,369.44,73.98,,100.2,100,100,100,100.6,,,,,,547.6,,93.84,82.23,311.68,376.26,389.32,795.92,,209,83.6,25,32.05,38.03,5977,5211.1,,731,,,,,
2003-05-31,,,,,,,,,,,,2.2,0.4,1.5,1.4,,,87.7,77.8,248.36,,,48.76,,,379.94,74.36,,100.6,100.1,100,100,100.3,,,,,,550.6,,89.9,78.92,306.76,377.96,392.86,820.46,,191,99.3,25.86,32.3,38.39,5713,5531.9,,1155,,,,,
2003-06-30,2066.6,1232.1,1741.7,1116,84.28,90.58,918.3,198.1,765.6,867.7,763.7,1.5,0.4,1.3,1.2,,,114.3,148.3,245.86,,,48.82,,,392.96,74.7,,99.3,99.8,100,100,100.2,,,,,,583.4,,88.49,77.17,312.7,382.88,399.84,831.96,,272,123.9,27.65,32.56,38.42,5852,5727.2,,1108,,,191235.1221,14149331,
2003-07-31,,,,,,,,,,,,2,0.5,1.4,1.3,,,126.8,73.9,248.28,,,49.9,,,406.48,74.7,,98.4,100.1,100,100,101.1,,,,,,584.9,,89.58,77.35,336.62,423.66,441.72,839.74,,229.8,389.2,28.35,32.79,38.35,6436,6267.4,,1567,,,,,
2003-08-31,,,,,,,,,,,,1.8,0.4,1.5,1.3,,,79.9,78.1,253.18,,,50.1,,,387.72,75.26,,99.6,99.9,100,100,99.6,,,,,,588.2,,90.74,78.1,362.8,450.78,466.28,935.26,,196.8,99.6,29.89,32.66,38.41,6101,5974.8,,1523,,,,,
2003-09-30,2625.2,1520.1,2030.1,1370.9,77.33,90.18,1182,215.5,642,1120,1101.1,2.5,0.4,1.4,1.2,,,109.7,166.4,254.58,,,50.26,,,415.38,75.52,,101.7,100,100,100,99.9,,,,,,621.9,,90.39,78.49,356.34,439.82,455.72,918.06,,221.7,117.1,27.11,32.77,38.93,6218,6205.5,,1947,,,196687.6416,14388195.4,
2003-10-31,,,,,,,,,,,,1.1,0.5,1.7,1.3,,,119.8,83.2,261.88,,,51.76,,,447.98,75.72,,101.4,100.4,100,100,100.5,,,,,,625.6,,88.25,77.19,354.62,449.38,465.08,904.58,,225.6,443.5,29.61,33.1,39.29,6830,6575.4,,1941,,,,,
2003-11-30,,,,,,,,,,,,1.6,0.4,2,1.3,,,92.5,79.9,257.1,,,51.84,,,451.9,76.02,,101,100.6,100,100,100.8,,,,,,638.2,,88.23,77.18,374.34,454.64,470.88,930.04,,310.9,131.4,28.75,33.42,39.79,6548,5245,,2357,,,,,
2003-12-31,2513.6,1388.8,1921.1,1258.9,76.43,90.65,1352.5,280.9,830.7,1746.2,1270,2.2,0.4,2.4,1.3,,,189.7,197.2,307.86,,,53.64,,,528.56,76.6,,102.4,100.1,100,100,100.1,,,,,,670.3,,85.46,75.17,370.26,452.2,468.84,917.82,,309.4,429.5,29.81,33.78,39.96,8163,8234.3,,2625,,,202633.5348,14650610,
2004-01-31,,,,,,,,,,,,1.6,0.4,2.2,1.3,,,60.9,79.1,289.04,,,50.84,,,415.1,87.52,,103.2,99.9,100,100,101.9,,,,,,671.2,,83.39,74.49,408.18,499.82,519.83,1020.86,,203,132.2,31.14,34.37,40.22,5363,6330,,439,,,,,
2004-02-29,,,,,,,,,,,,1.6,0.4,2,1.2,,,79.3,98.2,283.22,,,50.6,,,426.62,103.26,,100.2,99.9,100.1,100,100.4,,,,,,690.3,,82.64,73.57,376.9,472.42,494.08,1026.08,,222.7,120.6,30.87,34.71,40.43,6334,6139.4,,418,,,,,
2004-03-31,1914.5,1134.7,1682.3,1028.6,87.87,90.65,1066.9,231.9,827.1,1449.2,1048.1,1.8,0.4,2.1,1.3,,,121,118.3,306.96,,,54.74,,,468.28,87.8,,101.6,99.8,100,104.3,101.2,,,,,,719.2,,84.06,75.19,370.82,464.66,486.72,1034.96,,255,442,33.8,34.98,40.82,7506,8451.9,,889,,,208214.6357,14925846.2,
2004-04-30,,,,,,,,,,,,1.4,0.5,1.8,1.3,,,125.6,126.6,297.46,,,53.94,,,464.52,88.16,,101,100.2,99.9,104,100.5,,,,,,731.4,,85.29,76.4,371.38,477.52,500.88,1069.14,,277.5,269.5,33.36,35.32,41.02,7473,7932,,853,,,,,
2004-05-31,,,,,,,,,,,,2.1,0.4,1.6,1.3,,,106.8,118.7,303.24,,,56.18,,,462.18,88.58,,100.2,100.1,100,93,99.6,,,,,,702.4,,86.49,77.23,374.58,501.74,532.3,1122.68,,258,166,37.74,35.58,41.2,7122,7990.6,,1356,,,,,
2004-06-30,2271.6,1408,2093.4,1360.6,92.16,96.63,1146.6,253,1129.6,1468.1,1081.2,1.6,0.4,1.5,1.3,,,132.2,128.9,294.96,,,56.24,,,480.82,89.16,,97.7,99.9,100,94.7,99.9,,,,,,753.6,,85.84,75.4,376.24,504.86,535.72,1108.94,,296.9,183.7,35.19,35.86,41.14,7638,8467.8,,1331,,,213062.499,15213494.7,
2004-07-31,,,,,,,,,,,,2,0.4,1.5,1.1,,,124.2,119.1,298.88,,,58.32,,,484.84,92.78,,98.2,100,100,101.2,100.7,,,,,,770.3,,85.25,73.93,402.72,543.08,574.3,1140.44,,315.3,499.9,38.37,36.19,41.34,8078,8728.5,,1774,,,,,
2004-08-31,,,,,,,,,,,,1.8,0.4,1.5,1.3,,,107,115.7,306.02,,,59.24,,,481.68,93.46,,99.6,100,100,100,100.5,,,,,,843.7,,85.63,73.92,413.7,553.7,585.18,1219.72,,281.2,223.3,43.03,36.34,41.65,8051,7883.4,,1839,,,,,
