"Variables ->","Short","Long","Infl","Growth","Wage","Y","N","W","Q","H","A","dA","P","R","R20","R20exp","term20","Pk","Rk","Lambda","dP","d4P","dW","RMC","Mp","Mw","Ey","Ep","Ea","Er","Eterm20","Ew","ttrend"
"Comments ->","Short term rate","Long term rate","Price inflation","Output growth","Wage inflation","Output","Labor","Wage rate","Nominal marginal cost","Consumption habit","Productivity","Rate of change in productivity","Final prices","Interest rate","5-year interest rate","5-Year expectations of short rates","5-year term premium","Price of capital","Rental price of capital","Households shadow value of wealth","Inflation Q/Q","Inflation Y/Y","Wage inflation Q/Q","Real marginal cost","Measurement error on price inflation","Measurement error on wage inflation","Consumption demand shock","Cost push shock","Productivity shock","Policy shock","Long-term rate shock","Wage shock","Time trend"
"Class[Size] ->","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]"
"2011Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9816509720250112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9877295966495898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9938458616151651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q1",NaN,NaN,NaN,NaN,NaN,1.5519465293293773,NaN,1.7313525130113012,NaN,NaN,1.0000000000000000,1.0074170717777329,1.0000000000000000,1.0174924957880032,NaN,NaN,0.0000000000000000,NaN,NaN,NaN,1.0061922463256359,NaN,1.0136552464388315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q2",6.6155655707781902,11.1728069155696907,0.7549608376803445,-4.6586790456891780,1.5647860295957758,1.5346627378862967,0.7341424972084625,1.7384077886290044,0.8220520455586577,1.5287087049588810,1.0061571922612360,1.0061571922612360,1.0019187986113336,1.0161473274838064,1.0270061839200988,1.0159258578728920,0.0108475803131445,1.5482649057671201,0.0504629057168832,0.6361917075333907,1.0019187986113338,1.0206466729661694,1.0040750081596219,0.8204777140602888,0.0000000000000000,0.0000000000000000,-0.0224762736136265,-0.0039833433193487,-0.0012513863564988,0.0009259683815781,0.0108475803131445,-0.0134120179108090,1.0000000000000000
"2012Q3",7.5462444423838875,7.4444594163034568,2.0860702115007848,6.7634699045067830,8.3563898509385659,1.5602327025172071,0.7421005003600512,1.7737904836878688,0.8399965078989752,1.5615124503033753,1.0119519797388667,1.0057593261989286,1.0071056545746020,1.0183555515883835,1.0181138124751179,1.0170657715421987,0.0010299248614636,1.5454290671071249,0.0524236008649694,0.6393716071638421,1.0051769224915807,1.0196167635259048,1.0203535069793772,0.8340698953316740,0.0000000000000000,0.0000000000000000,0.0099545282796054,0.0028149486762081,-0.0005206481549002,0.0022963281647807,-0.0076481393890520,0.0224180310106318,2.0000000000000000
"2012Q4",8.7549514274492815,11.1459811914332079,5.0044467472351997,5.8483322110730782,4.2528065960386838,1.5827092704032248,0.7488875480813393,1.7923913765186119,0.8495443279604576,1.5902922461613602,1.0172267889574709,1.0052125094117266,1.0195507491002680,1.0212306184973152,1.0269419260871706,1.0177238974407163,0.0090167214548352,1.5508073553684421,0.0537832673392598,0.6367263834975248,1.0123572879063252,1.0258640584801837,1.0104865219437136,0.8332535959687759,0.0000000000000000,0.0000000000000000,0.0116931229821052,0.0091276678252894,-0.0007085229630561,0.0012590395078091,0.0081927815656644,-0.0069965683863246,3.0000000000000000
"2013Q1",9.3420680882693610,11.6922890613390109,4.8125182363053085,2.2258212093570506,11.7511032872534429,1.5914550642502407,0.7477205243286875,1.8436337079717189,0.8667737657169341,1.5977483049136469,1.0244442542905106,1.0070952371795443,1.0316665761636106,1.0226300794414482,1.0282513347766775,1.0189455304668396,0.0090913273297743,1.5842017863549060,0.0551772599603787,0.6228433617772117,1.0118834958181675,1.0316665761636108,1.0285888071792868,0.8401685057396622,0.0000000000000000,0.0000000000000000,0.0020675213920241,0.0000664520237080,0.0016521401836686,-0.0000859135775361,0.0018779501659061,0.0280067213190426,4.0000000000000000
"2013Q2",8.2205974655972724,7.5135085005893725,1.5821330720358739,6.9170390714229235,9.5696075935290636,1.6185744770936008,0.7548827550039581,1.8865702338212318,0.8860661101503812,1.6255090080361121,1.0320160129247462,1.0073910889758266,1.0357336156948711,1.0199585883796105,1.0182777975698172,1.0181370732052939,0.0001382079523842,1.6210100869397688,0.0573665596362806,0.6111397033795268,1.0039422034455983,1.0337500575200358,1.0232890761672773,0.8554961398601721,0.0000000000000000,0.0000000000000000,0.0137825693875746,-0.0102034771356623,0.0002617726911219,-0.0016030226705655,-0.0071348539114352,0.0045118953422157,5.0000000000000000
"2013Q3",6.4380470074692777,3.9326968049197921,-4.4927490106628181,-1.6297452515868984,4.0486339952513379,1.6123589036576600,0.7477893593085985,1.9054323373427442,0.8843495152721415,1.6141227814461083,1.0378048391504819,1.0056092407028938,1.0245235249677229,1.0157266728331023,1.0098084388099455,1.0152954110180918,-0.0054189671663286,1.6331263043374020,0.0570355525957750,0.6091260093657115,0.9891766661260413,1.0172949782517888,1.0099980924024796,0.8631812678971941,0.0000000000000000,0.0000000000000000,-0.0101438702864513,-0.0207491252726981,-0.0017729204122084,0.0015955474908971,-0.0055295335282360,-0.0044330655921915,6.0000000000000000
"2013Q4",5.2035328735544208,6.5854154598938370,-0.0655416223094585,2.4327409069367931,2.0827311383853329,1.6220829944456505,0.7492953203744690,1.9155449388789911,0.8866814782927263,1.6240293141183446,1.0419654131521678,1.0040090138769171,1.0244371966759087,1.0128061341985606,1.0160758703698936,1.0153825934160006,0.0006825411330491,1.6407187931645693,0.0575308378971425,0.6058885551233975,0.9999157381068271,1.0047927458049077,1.0053072477768219,0.8655303430701543,0.0000000000000000,0.0000000000000000,-0.0001776726699750,0.0074935634925686,-0.0017721816070769,-0.0015554990375140,0.0050177148661120,0.0023674409772833,7.0000000000000000
"2014Q1",4.5975312358022089,11.3109083937502835,-0.9998892037788756,8.0361002102639070,-2.1740294671048574,1.6542113459279530,0.7611414858178673,1.9063976515077319,0.8882287325677907,1.6605448660455773,1.0460654394605593,1.0039348967409463,1.0220191438886825,1.0113755666360933,1.0273370532283608,1.0149875345972554,0.0120937379130211,1.6494138204214539,0.0587727218877138,0.6044417879444625,0.9976396280854776,0.9906486916433767,0.9952247075045849,0.8690920692426245,0.0000000000000000,0.0000000000000000,0.0160449581559774,-0.0059943180772185,-0.0004126940473397,-0.0000466839311003,0.0115477050065819,-0.0086149592662166,8.0000000000000000
"2014Q2",6.3886799079984113,10.5731548789998602,5.3379892772849136,-0.8778591712352254,-3.4403675202322650,1.6508689540939721,0.7565550833555448,1.8916132093990266,0.8742735165966559,1.6583195775443604,1.0502804920970970,1.0040294349450176,1.0354905767402482,1.0156097216515390,1.0255707479022451,1.0165418952273730,0.0088427164274264,1.6496639107979927,0.0577324402374392,0.6000993246508358,1.0131811942389928,0.9997653460784319,0.9922448277792344,0.8443085202657198,0.0000000000000000,0.0000000000000000,-0.0049092807136669,0.0175168630763499,-0.0002520892971414,0.0009022672184327,-0.0008322739029905,-0.0072875815128348,9.0000000000000000
"2014Q3",6.7825231027547552,18.0417496465950862,1.7091905582483966,-1.2531443448520634,4.4870964208079567,1.6460332833645970,0.7504951221856995,1.9125104092928871,0.8747252181562915,1.6505844534220557,1.0556598175037306,1.0051217988405106,1.0398949009217195,1.0165431152894888,1.0435929525876659,1.0165572200790793,0.0262478775002856,1.6696246577931804,0.0575930729153445,0.5934266587238403,1.0042533696398632,1.0150034387492286,1.0110472901066807,0.8411669461798218,0.0000000000000000,0.0000000000000000,-0.0075620493035021,-0.0096585269931985,0.0007505523251741,0.0011114925847285,0.0191737043583444,0.0218941388894509,10.0000000000000000
"2014Q4",8.0074774837573202,7.3733385457740352,5.9172054945470869,1.5732679344447689,7.1870750755014168,1.6525095658818190,0.7489126180912251,1.9460408056407237,0.8834592778996683,1.6576947547097078,1.0620527470159107,1.0060558613733133,1.0550914566472354,1.0194516981497206,1.0179449346913596,1.0182233295000656,-0.0002734497097675,1.6901689342893063,0.0583969963118498,0.5838158359565724,1.0146135496116448,1.0299230251212996,1.0175321379611388,0.8373295720799760,0.0000000000000000,0.0000000000000000,-0.0003300881208427,0.0120388573253286,0.0007007739444490,-0.0001835560442675,-0.0212717517099960,0.0108852723580803,11.0000000000000000
"2015Q1",7.5941934864359553,12.3274386259908209,3.1221441597144692,1.1284945539671769,0.4543242703524512,1.6572213147996486,0.7463246588739290,1.9488396101093650,0.8771392973842301,1.6589111314805240,1.0687742249963039,1.0063287609765887,1.0632370015416770,1.0184694503031191,1.0297757812198218,1.0169825546268680,0.0125011272478774,1.7272045580530597,0.0581445575869413,0.5708178372725381,1.0077202263776506,1.0403298293377996,1.0014382044099635,0.8249706284792495,0.0000000000000000,0.0000000000000000,-0.0035233397694321,-0.0052104142760288,0.0001360099034957,-0.0004911767766339,0.0127198870156914,-0.0211636358854913,12.0000000000000000
"2015Q2",7.5978790369717224,12.5187882986560393,3.0880700415224482,2.9354229547568687,5.2610061218741375,1.6692513846058050,0.7469105943046587,1.9739832283026157,0.8832074865310711,1.6716502253231789,1.0756881338496038,1.0064690078517975,1.0713563903226362,1.0184782055297605,1.0302354896482928,1.0173531380796894,0.0125831149584737,1.7502449636704271,0.0589718127914481,0.5637394119398872,1.0076364806427791,1.0346365427054824,1.0129018406968029,0.8243825252818957,0.0000000000000000,0.0000000000000000,0.0012793037628651,0.0010361819122389,0.0000312669484030,-0.0000066290328926,0.0025822131601717,0.0104004722309561,13.0000000000000000
"2015Q3",9.7893819244874116,16.1195682591015697,7.7289634044759037,0.3357292238959432,6.1238132633471194,1.6707928548587323,0.7418802392165073,2.0035405287682435,0.8855746796087585,1.6734420777104737,1.0839819692882937,1.0077102602303589,1.0918267627988798,1.0236975910901200,1.0389245590885829,1.0191952661542962,0.0191727391696239,1.7722473824102529,0.0591844738853650,0.5531243144998560,1.0191069681957834,1.0499395293035194,1.0149734303928424,0.8110944975726757,0.0000000000000000,0.0000000000000000,-0.0048823241901245,0.0162323478237043,0.0011383617655304,0.0017903901203363,0.0091062472028449,-0.0005883782909641,14.0000000000000000
"2015Q4",11.5782793905838481,15.5658046315569916,8.4369330506976752,-1.0096360863758678,9.0893224075369083,1.6668837266729528,0.7344546613920344,2.0478707519409958,0.8922068467254076,1.6699631896672900,1.0923795655729915,1.0077469889007575,1.1146112621094313,1.0279779348591578,1.0375835147285770,1.0197884591725528,0.0172992531878081,1.7976573224370025,0.0594882029453109,0.5438931868319438,1.0208682366899891,1.0564119869298649,1.0221259428178402,0.8004645898130283,0.0000000000000000,0.0000000000000000,-0.0078863936426952,0.0076933387310845,0.0000655457375629,0.0016702716606781,0.0019610618521090,0.0075586726962666,15.0000000000000000
"2016Q1",12.9266180154167767,17.8650622180460559,9.0815032439365027,5.9423086838860364,8.7932141477017005,1.6912824338842367,0.7390883851993449,2.0917146405740641,0.9076259884581512,1.6991036535464712,1.1014201390115750,1.0082760367581951,1.1396615135257440,1.0312159659487412,1.0431629585339526,1.0204993222985406,0.0219653648396581,1.8350706771719092,0.0614020756326435,0.5325525651589113,1.0224744287698158,1.0718790936294098,1.0214094998873890,0.7963996131186796,0.0000000000000000,0.0000000000000000,0.0117552975404560,0.0084185567402289,0.0005575865332532,0.0010351794452418,0.0081259622894116,-0.0015124128139797,16.0000000000000000
"2016Q2",14.4401332015225261,14.1463688869053179,10.9672260957477210,-1.7048902742519840,14.6091863462345373,1.6844803889796334,0.7302839258040789,2.1661248806528057,0.9250469238295815,1.6921821345203218,1.1102159694466531,1.0079858994070796,1.1706465751152342,1.0348628198380068,1.0341539798792738,1.0213763800760427,0.0124325717942544,1.8731892249474749,0.0623289360830747,0.5203969447303055,1.0271879511782693,1.0926770827051280,1.0355738008595283,0.7902017086057962,0.0000000000000000,0.0000000000000000,-0.0068578784359919,0.0125786017935200,-0.0002025695235895,0.0006488294413525,-0.0051397200774720,0.0201815228578653,17.0000000000000000
"2016Q3",13.0292703514558728,15.1342545842099980,4.6703927545413535,2.6666967647586635,11.9075543213412871,1.6956020235019720,0.7289759043512556,2.2288773946589058,0.9427811083432680,1.6985376712094902,1.1195513168985056,1.0084085868954895,1.1841473958867552,1.0314629026303614,1.0365396341347954,1.0195646303343004,0.0165121874231983,1.9447740189627456,0.0639432622010511,0.5029530355267207,1.0115327897065707,1.0845561184552879,1.0289699428535199,0.7961687131332678,0.0000000000000000,0.0000000000000000,0.0009208451626207,-0.0114635911517171,0.0004756988246517,-0.0004049478605834,0.0065661299877948,-0.0019989227533224,18.0000000000000000
