"Variables ->","Short","Long","Infl","Growth","Wage","Y","N","W","Q","H","A","dA","P","R","R20","R20exp","term20","Pk","Rk","Lambda","dP","d4P","dW","RMC","Mp","Mw","Ey","Ep","Ea","Er","Eterm20","Ew","ttrend","alpha","beta","gamma","delta","k","pi","eta","psi","chi","xiw","xip","rhoa","rhor","kappap","kappan","rhoterm20","Short_","Long_","Infl_","Growth_","Wage_","std_Mp","std_Mw","std_Ey","std_Ep","std_Ea","std_Er","std_Eterm20","std_Ew"
"Comments ->","Short term rate","Long term rate","Price inflation","Output growth","Wage inflation","Output","Labor","Wage rate","Nominal marginal cost","Consumption habit","Productivity","Rate of change in productivity","Final prices","Interest rate","5-year interest rate","5-Year expectations of short rates","5-year term premium","Price of capital","Rental price of capital","Households shadow value of wealth","Inflation Q/Q","Inflation Y/Y","Wage inflation Q/Q","Real marginal cost","Measurement error on price inflation","Measurement error on wage inflation","Consumption demand shock","Cost push shock","Productivity shock","Policy shock","Long-term rate shock","Wage shock","Time trend","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","Series[44-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"2011Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9816509720250112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0074170717777329,0.9962287197546357,0.6000000000000000,0.0300000000000000,10.0000000000000000,1.0061922463256359,6.0000000000000000,0.2500000000000000,0.8500000000000000,60.0000000000000000,300.0000000000000000,0.9000000000000000,0.8500000000000000,3.5000000000000000,0.0000000000000000,0.8000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0099503308531681,0.0099503308531681,0.0010000000000000,0.0010000000000000,0.0099503308531681,0.0099503308531681
"2011Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9877295966495898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9938458616151651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q1",NaN,NaN,NaN,NaN,NaN,1.5519465293293773,NaN,1.7313525130113012,NaN,NaN,1.0000000000000000,1.0074170717777329,1.0000000000000000,1.0174924957880032,NaN,NaN,0.0000000000000000,NaN,NaN,NaN,1.0061922463256359,NaN,1.0136552464388315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q2",7.7181784393441522,9.0245317930021169,4.9893729970327083,5.3901573118463872,8.9573666727835679,1.5725539566752698,0.7503475638913351,1.7691074417857240,0.8466672821700414,1.5718442868019225,1.0087332378029552,1.0087332378029550,1.0123200690274032,1.0187640246581693,1.0218729567422484,1.0188659288746451,0.0029470012700663,1.5719534450049193,0.0532571993825598,0.6265644263053514,1.0123200690274032,1.0312423640136841,1.0218066098559886,0.8363632294512208,0.0000000000000000,0.0000000000000000,0.0053499659273602,0.0067035249259388,0.0013056231035304,-0.0004277428227131,0.0029470012700663,0.0086627423960081,1.0000000000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q3",7.5706004308977333,0.1992102430314682,1.1198438909517738,0.9641841326264970,7.5901053428289744,1.5764089149574934,0.7449219138277924,1.8018424808306936,0.8498830855125382,1.5740750334874298,1.0185711807317703,1.0097527696720319,1.0151655608591699,1.0184134054937721,1.0010529753063853,1.0179424200286633,-0.0167309333540094,1.5895424254825739,0.0535905309069419,0.6196522282808118,1.0028108618201164,1.0277767967089817,1.0185037032074926,0.8371866799670126,0.0000000000000000,0.0000000000000000,-0.0064229027997383,-0.0104485679217852,0.0011407570325391,0.0001637943270962,-0.0190885343700624,-0.0013794053727947,2.0000000000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q4",6.7462284269421771,-0.0275384477150812,-2.9801040097724076,6.8505945536411019,7.8890516131711648,1.6030133879989994,0.7499237624940046,1.8364828259083648,0.8614000834117899,1.6028944342201674,1.0288529015064101,1.0100942584761261,1.0078897202455215,1.0164570623933287,1.0005236749852999,1.0170884421903257,-0.0164205391755142,1.6000695734024388,0.0552334346453022,0.6186816085448470,0.9928328531875231,1.0141308216623584,1.0192249574789143,0.8546570781592587,0.0000000000000000,0.0000000000000000,0.0092718941781747,-0.0138325747013841,0.0005697151189967,-0.0001344652992971,-0.0030357924923067,0.0072021136656967,3.0000000000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2013Q1",6.6854361991740667,2.9025985541948134,2.9712624288952081,0.8787535020176110,5.6404297698050048,1.6066098399515045,0.7444026482168933,1.8618488978610657,0.8606776413741908,1.6001286482443813,1.0388091477683363,1.0096770357038878,1.0152971546527114,1.0163129433219031,1.0073851165806416,1.0181067895397760,-0.0105868338134683,1.6426358066918365,0.0553109267063211,0.5991677804292416,1.0073494493081896,1.0152971546527116,1.0138123110082200,0.8477100890414601,0.0000000000000000,0.0000000000000000,-0.0091908948264478,0.0138629027545856,-0.0001477435192095,-0.0011574726165696,0.0025495975269430,-0.0050864404730177,4.0000000000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
